Feature,Gain_Importance,Gain_Percentage,Description
MET_magnitude,0.3441892282623194,34.41892282623194,Missing Transverse Energy magnitude [Low-level]
lepton1_pT,0.18813998563443202,18.813998563443203,Transverse momentum lepton 1 [Low-level]
M_R,0.14656218142814517,14.656218142814517,Razor mass M_R [High-level]
lepton2_pT,0.06002556705100962,6.002556705100962,Transverse momentum lepton 2 [Low-level]
dPhi_r_b,0.030646163528626005,3.0646163528626005,Azimuthal angle dPhi_r_b [High-level]
lepton2_eta,0.030569851054803844,3.0569851054803845,Pseudorapidity lepton 2 [Low-level]
lepton1_phi,0.023627580504777257,2.3627580504777255,Azimuthal angle lepton 1 [Low-level]
cos_theta_r1,0.02340892268328973,2.340892268328973,cos(theta_r1) Razor frame decay angle [High-level]
MT2,0.02139396593958804,2.139396593958804,Stransverse mass MT2 [High-level]
lepton2_phi,0.021084075410127318,2.1084075410127316,Azimuthal angle lepton 2 [Low-level]
lepton1_eta,0.02007330242710269,2.0073302427102693,Pseudorapidity lepton 1 [Low-level]
S_R,0.01979369810666351,1.979369810666351,Super-razor variable S_R [High-level]
MET_rel,0.016553134053886264,1.6553134053886265,MET relative to nearest jet [High-level]
M_TR_2,0.01365572139024368,1.365572139024368,Transverse razor mass M_TR_2 [High-level]
R,0.013452566182727574,1.3452566182727574,Razor ratio R [High-level]
axial_MET,0.012130427172696611,1.2130427172696612,Axial Missing ET [High-level]
MET_phi,0.009000378404819837,0.9000378404819838,MET azimuthal angle [Low-level]
M_Delta_R,0.005693250764741268,0.5693250764741268,Super-razor M_Delta_R [High-level]
