Feature,Val_Delta_AUC,Description
MET_magnitude,0.1922348484848485,Missing Transverse Energy magnitude [Low-level]
MET_rel,0.010101010101010055,MET relative to nearest jet [High-level]
M_R,0.00978535353535348,Razor mass M_R [High-level]
axial_MET,0.005997474747474696,Axial Missing ET [High-level]
MET_phi,0.0018939393939393367,MET azimuthal angle [Low-level]
cos_theta_r1,0.0,cos(theta_r1) Razor frame decay angle [High-level]
dPhi_r_b,0.0,Azimuthal angle dPhi_r_b [High-level]
MT2,0.0,Stransverse mass MT2 [High-level]
R,0.0,Razor ratio R [High-level]
M_Delta_R,0.0,Super-razor M_Delta_R [High-level]
M_TR_2,0.0,Transverse razor mass M_TR_2 [High-level]
S_R,0.0,Super-razor variable S_R [High-level]
lepton2_phi,0.0,Azimuthal angle lepton 2 [Low-level]
lepton2_eta,0.0,Pseudorapidity lepton 2 [Low-level]
lepton2_pT,0.0,Transverse momentum lepton 2 [Low-level]
lepton1_phi,0.0,Azimuthal angle lepton 1 [Low-level]
lepton1_eta,0.0,Pseudorapidity lepton 1 [Low-level]
lepton1_pT,0.0,Transverse momentum lepton 1 [Low-level]
